TOP.69edfd87.0005053d	START
TOP.69edfd87.0005053d	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69edfd87.0005053d	folder_config->install_dir	.
TOP.69edfd87.0005053d	folder_config->profile_dir	.
TOP.69edfd87.0005053d	folder_config->session_dir	.
TOP.69edfd87.0005053d	folder_config->shared_dir	.
TOP.69edfd87.0005053d	user_options->encoding_from	utf-8
TOP.69edfd87.0005053d	user_options->encoding_to	utf-8
TOP.69edfd87.0005053d	user_options->outfile	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\reports\hashcat_output\cracked_20260426_172654.txt
TOP.69edfd87.0005053d	user_options->rule_buf_l	:
TOP.69edfd87.0005053d	user_options->rule_buf_r	:
TOP.69edfd87.0005053d	user_options->session	hashcat
TOP.69edfd87.0005053d	user_options->separator	:
TOP.69edfd87.0005053d	user_options->limit	0
TOP.69edfd87.0005053d	user_options->skip	0
TOP.69edfd87.0005053d	user_options->attack_mode	0
TOP.69edfd87.0005053d	user_options->backend_devices_virtmulti	1
TOP.69edfd87.0005053d	user_options->backend_devices_virthost	1
TOP.69edfd87.0005053d	user_options->backend_devices_keepfree	0
TOP.69edfd87.0005053d	user_options->benchmark	0
TOP.69edfd87.0005053d	user_options->benchmark_all	0
TOP.69edfd87.0005053d	user_options->benchmark_max	99999
TOP.69edfd87.0005053d	user_options->benchmark_min	0
TOP.69edfd87.0005053d	user_options->bitmap_max	18
TOP.69edfd87.0005053d	user_options->bitmap_min	16
TOP.69edfd87.0005053d	user_options->debug_mode	0
TOP.69edfd87.0005053d	user_options->dynamic_x	0
TOP.69edfd87.0005053d	user_options->hash_info	0
TOP.69edfd87.0005053d	user_options->force	1
TOP.69edfd87.0005053d	user_options->hwmon	1
TOP.69edfd87.0005053d	user_options->hwmon_temp_abort	90
TOP.69edfd87.0005053d	user_options->hash_mode	0
TOP.69edfd87.0005053d	user_options->hex_charset	0
TOP.69edfd87.0005053d	user_options->hex_salt	0
TOP.69edfd87.0005053d	user_options->hex_wordlist	0
TOP.69edfd87.0005053d	user_options->hook_threads	12
TOP.69edfd87.0005053d	user_options->identify	0
TOP.69edfd87.0005053d	user_options->increment	0
